,centros,qtd_projeto
1,CBIOTEC,13
2,CEAR,17
4,CCJ,37
5,CCEN,49
6,CT,64
7,CCSA,85
8,CE,92
11,CCTA,139
12,CCM,98
13,CCHLA,129
15,CCS,296
16,CCHSA,59
17,CCAE,74
18,CCA,75
19,CI,18
20,CTDR,27
