,centros,qtd_projeto
1,CBIOTEC,8
2,CEAR,19
4,CCSA,74
5,CCEN,63
6,CCJ,45
7,CT,56
9,CCM,86
11,CE,125
12,CCTA,117
13,CCHLA,147
15,CCS,293
16,CCHSA,42
17,CCAE,78
18,CCA,49
19,CI,14
20,CTDR,18
