,centros,qtd_projeto
1,CBIOTEC,2
2,CEAR,1
4,CCSA,10
5,CCEN,10
6,CCJ,4
7,CT,1
9,CCM,7
11,CE,18
12,CCTA,37
13,CCHLA,28
15,CCS,18
16,CCHSA,4
17,CCAE,7
18,CCA,3
19,CI,1
20,CTDR,1
