,centros,qtd_projeto
1,CBIOTEC,8
2,CEAR,17
4,CCSA,92
5,CCEN,72
6,CCJ,48
7,CT,68
9,CCM,76
11,CE,35
12,CCTA,177
13,CCHLA,168
15,CCS,335
16,CCHSA,66
17,CCAE,102
18,CCA,75
19,CI,19
20,CTDR,40
