,centros,qtd_projeto
1,CBIOTEC,12
2,CEAR,20
4,CCSA,112
5,CCEN,54
6,CCJ,57
7,CT,62
9,CCM,96
11,CE,104
12,CCTA,171
13,CCHLA,141
15,CCS,395
16,CCHSA,60
17,CCAE,97
18,CCA,79
19,CI,34
20,CTDR,33
