centro,2017,2018,2019,2020,2021
CCS,136,210,215,337,218
CEAR,31,44,50,71,49
CCEN,76,137,132,191,109
CT,75,105,95,149,83
CCM,37,56,66,85,62
CBIOTEC,15,56,25,35,16
CTDR,16,26,21,33,25
CCHLA,62,22,112,137,105
CCTA,13,20,21,42,32
CCHSA,40,77,88,115,69
CCSA,50,82,85,98,72
CI,16,32,36,50,30
CCAE,23,49,65,86,61
CCJ,8,18,21,26,24
CCA,60,85,105,148,110
CE,33,39,59,70,50
