centro,2017,2018,2019,2020,2021
CCS,111,178,192,250,212
CEAR,28,34,41,45,45
CCEN,69,110,117,125,103
CT,59,85,91,102,87
CCM,20,38,52,58,41
CBIOTEC,14,18,19,21,16
CTDR,15,17,21,25,21
CCHLA,47,88,94,124,98
CCTA,11,23,27,41,37
CCHSA,29,58,67,75,71
CCSA,42,76,74,86,71
CI,14,28,25,35,25
CCAE,20,54,67,79,62
CCJ,8,20,22,29,29
CCA,49,66,88,85,86
CE,35,45,63,69,59
