centro,2017,2018,2019,2020,2021
CCS,269,336,369,369,381
CEAR,18,22,23,21,21
CCEN,44,50,65,59,62
CT,84,74,75,71,70
CCM,47,82,88,78,97
CBIOTEC,9,9,9,7,10
CTDR,30,27,27,29,34
CCHLA,94,143,130,141,133
CCTA,102,95,108,108,90
CCHSA,53,76,82,83,82
CCSA,63,87,80,74,81
CI,13,24,29,16,16
CCAE,62,75,71,72,75
CCJ,28,44,49,51,53
CCA,70,78,83,76,70
CE,61,73,94,83,121
