centro,2017,2018,2019,2020,2021,2022,media
CBIOTEC,9,9,9,7,10,5,6.67
CI,13,24,29,16,16,2,17.33
CEAR,18,22,23,21,21,3,17.0
CTDR,30,27,27,29,34,1,27.83
CCJ,28,44,49,51,53,10,33.16
CCEN,44,50,65,59,62,35,48.5
CCSA,63,87,80,74,81,28,58
CE,61,73,94,83,121,57,64.0
CT,84,74,75,71,70,2,62.83
CCM,47,82,88,78,97,21,60.83
CCTA,102,95,108,108,90,101,65.0
CCAE,62,75,71,72,75,23,69.0
CCHSA,53,76,82,83,82,13,71.35
CCA,70,78,83,76,70,10,3.67
CCHLA,94,143,130,141,133,79,87.0
CCS,269,336,369,369,381,54,253.17
