centro,2017,2018,2019,2020,2021
CCS,238,296,395,335,293
CEAR,11,17,20,17,19
CCEN,43,49,54,72,63
CT,68,64,62,68,56
CCM,52,98,96,76,86
CBIOTEC,7,13,12,8,8
CTDR,24,27,33,40,35
CCHLA,90,129,141,168,147
CCTA,108,139,171,177,117
CCHSA,44,59,60,66,60
CCSA,54,85,112,92,74
CI,15,18,34,19,14
CCAE,56,74,97,101,78
CCJ,26,37,57,48,45
CCA,64,75,79,75,56
CE,67,92,104,102,125
